Your Estimate
Service Type,Components,Region,Component Price,Service Price
Servicio Amazon EC2 (EE.UU.Este (Norte de Virginia))PS,,,,$6456.25
,Calcular:PS,US East (N. Virginia),$5722.85
,Transferencia de datos intrarregional:PS,US East (N. Virginia),$1
,Volúmenes de EBS:PS,US East (N. Virginia),$720
,Rendimiento de EBS:PS,US East (N. Virginia),$0
,Instantáneas de EBS:PS,US East (N. Virginia),$3.2
,IP elásticas:PS,US East (N. Virginia),$7.2
,Transferencia de datos entre regiones hacia fuera:PS,US East (N. Virginia),$2
Entrada de transferencia de datos de AWSPS,,,,$0
,Región EE. UU. Este (Norte de Virginia):PS,Global,$0
Salida de transferencia de datos de AWSPS,,,,$8.91
,Región EE. UU. Este (Norte de Virginia):PS,Global,$8.91
AWS Support (Business)PS,,,,$646.39
,Soporte para todos los servicios de AWS:PS,,$646.39
,,Descuento de nivel gratuito :PS,,$-1.31
,,Pago mensual total:PS,,$7110.24
