Your Estimate
Service Type,Components,Region,Component Price,Service Price
Servicio Amazon EC2 (EE.UU.Este (Norte de Virginia))PS,,,,$2067.88
,Calcular:PS,US East (N. Virginia),$1876.88
,Transferencia de datos intrarregional:PS,US East (N. Virginia),$1
,Volúmenes de EBS:PS,US East (N. Virginia),$180
,Rendimiento de EBS:PS,US East (N. Virginia),$0
,Instantáneas de EBS:PS,US East (N. Virginia),$0.8
,IP elásticas:PS,US East (N. Virginia),$7.2
,Transferencia de datos entre regiones hacia fuera:PS,US East (N. Virginia),$2
Entrada de transferencia de datos de AWSPS,,,,$0
,Región EE. UU. Este (Norte de Virginia):PS,Global,$0
Salida de transferencia de datos de AWSPS,,,,$8.91
,Región EE. UU. Este (Norte de Virginia):PS,Global,$8.91
AWS Support (Business)PS,,,,$207.55
,Soporte para todos los servicios de AWS:PS,,$207.55
,,Descuento de nivel gratuito :PS,,$-1.31
,,Pago mensual total:PS,,$2283.03
